,State,Agency_Type,Agency_Name,Population,Total_Offenses,Crimes_Against_Persons,Crimes_Against_Property,Crimes_Against_Society,Crimes_Against_Persons,Aggravated_Assault,Simple_Assault,Intimidation,Homicide_Offenses,Murder_and_Nonnegligent_Manslaughter,Negligent_Manslaughter,Justifiable_Homicide,Human_Trafficking_Offenses,Commercial_Sex_Acts,Involuntary_Servitude,Kidnapping__Abduction,Sex_Offenses,Rape,Sodomy,Sexual_Assault_With_An_Object,Fondling,"Sex_Offenses,_Nonforcible",Incest,Statutory_Rape,Arson,Bribery,Burglary__Breaking_&_Entering,Counterfeiting__Forgery,Destruction__Damage__Vandalism_of_Property,Embezzlement,Extortion__Blackmail,Fraud_Offenses,False_Pretenses__Swindle__Confidence_Game,Credit_Card__Automated_Teller_Machine_Fraud,Impersonation,Welfare_Fraud,Wire_Fraud,Larceny__Theft_Offenses,Pocketpicking,Pursesnatching,Shoplifting,Theft_From_Building,Theft_From_Coin_Operated_Machine_or_Device,Theft_From_Motor_Vehicle,Theft_of__Motor__Vehicle_Parts_or_Accessories,All_Other_Larceny,Motor_Vehicle_Theft,Robbery,Stolen_Property_Offenses,Drug__Narcotic_Offenses,Drug__Narcotic_Violations,Drug_Equipment_Violations,Gambling_Offenses,Betting__Wagering,Operating__Promoting__Assisting_Gambling,Gambling_Equipment_Violations,Sports_Tampering,Pornography__Obscene_Material,Prostitution_Offenses,Prostitution,Assisting_or_Promoting_Prostitution,Purchasing_Prostitution,Weapon_Law_Violations,Region
0,ALABAMA,Cities,Hoover,84139.0,4686.0,770.0,3338.0,578.0,750,29.0,508.0,213.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,9.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,345.0,64.0,286.0,61.0,2.0,239.0,36.0,142.0,61.0,0.0,0.0,2148.0,6.0,0.0,791.0,450.0,5.0,504.0,152.0,240.0,108.0,35.0,49.0,530.0,349.0,181.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,38.0,South Central (East)
1,ARIZONA,Cities,Gilbert,225232.0,10199.0,1414.0,6484.0,2301.0,1290,136.0,883.0,271.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,63.0,13.0,1.0,0.0,49.0,21.0,0.0,21.0,22.0,0.0,650.0,161.0,2083.0,21.0,1.0,488.0,144.0,137.0,206.0,1.0,0.0,2730.0,1.0,3.0,667.0,87.0,3.0,800.0,43.0,1126.0,161.0,47.0,120.0,2206.0,1022.0,1184.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,2.0,0.0,0.0,71.0,West Mountain
2,ARIZONA,Cities,Huachuca City,1811.0,62.0,6.0,17.0,39.0,6,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,39.0,30.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Mountain
3,ARIZONA,Cities,Yuma,96014.0,9468.0,1592.0,6714.0,1162.0,1406,475.0,749.0,182.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,45.0,126.0,33.0,14.0,2.0,77.0,10.0,1.0,9.0,25.0,1.0,810.0,129.0,1899.0,36.0,0.0,664.0,245.0,216.0,192.0,0.0,11.0,2792.0,23.0,9.0,726.0,80.0,7.0,545.0,188.0,1214.0,248.0,65.0,45.0,1015.0,473.0,542.0,1.0,0.0,1.0,0.0,0.0,7.0,3.0,1.0,2.0,0.0,136.0,West Mountain
4,ARIZONA,Metropolitan Counties,Yuma,59699.0,,664.0,2491.0,466.0,592,138.0,368.0,86.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,13.0,31.0,15.0,0.0,0.0,16.0,20.0,0.0,20.0,9.0,0.0,556.0,22.0,657.0,0.0,2.0,212.0,97.0,50.0,65.0,0.0,0.0,906.0,0.0,0.0,48.0,0.0,0.0,49.0,4.0,805.0,96.0,4.0,27.0,423.0,207.0,216.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,32.0,West Mountain
5,ARKANSAS,Cities,Arkadelphia,10829.0,856.0,199.0,591.0,66.0,190,29.0,98.0,63.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,96.0,12.0,103.0,0.0,0.0,33.0,8.0,21.0,4.0,0.0,0.0,317.0,0.0,0.0,64.0,37.0,0.0,26.0,2.0,188.0,12.0,4.0,12.0,52.0,45.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,South Central (West)
6,ARKANSAS,Cities,Ashdown,4616.0,331.0,54.0,240.0,37.0,51,7.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,9.0,49.0,0.0,0.0,8.0,2.0,2.0,4.0,0.0,0.0,151.0,0.0,0.0,44.0,5.0,0.0,5.0,1.0,96.0,2.0,1.0,0.0,35.0,32.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,South Central (West)
7,ARKANSAS,Cities,Ash Flat,1069.0,37.0,6.0,23.0,8.0,5,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,7.0,3.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Central (West)
8,ARKANSAS,Cities,Atkins,3036.0,168.0,30.0,135.0,3.0,30,2.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,7.0,12.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,76.0,0.0,0.0,2.0,14.0,1.0,9.0,1.0,49.0,6.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,South Central (West)
9,ARKANSAS,Cities,Bald Knob,2931.0,323.0,52.0,224.0,47.0,50,2.0,19.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,3.0,45.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,126.0,1.0,0.0,9.0,14.0,1.0,20.0,3.0,78.0,9.0,0.0,9.0,41.0,33.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,South Central (West)
10,ARKANSAS,Cities,Barling,4733.0,441.0,62.0,169.0,210.0,60,18.0,34.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,2.0,45.0,0.0,0.0,11.0,0.0,9.0,2.0,0.0,0.0,83.0,0.0,0.0,3.0,27.0,0.0,11.0,1.0,41.0,8.0,0.0,2.0,207.0,106.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,South Central (West)
11,ARKANSAS,Cities,Bay,1825.0,76.0,14.0,52.0,10.0,12,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,4.0,3.0,0.0,2.0,0.0,17.0,0.0,0.0,7.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Central (West)
12,ARKANSAS,Cities,Bearden,930.0,84.0,25.0,56.0,3.0,24,4.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,7.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,22.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,South Central (West)
13,ARKANSAS,Cities,Beebe,7744.0,723.0,119.0,519.0,85.0,114,13.0,73.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,104.0,30.0,71.0,0.0,0.0,22.0,1.0,19.0,2.0,0.0,0.0,259.0,1.0,4.0,22.0,35.0,1.0,44.0,5.0,147.0,20.0,3.0,10.0,82.0,51.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,South Central (West)
